epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9626,1.14463,3.68376,1.13636,0.00664,0.93136,0.16582,0.13145,0.80991,3.67977,0.96606,0.00012861,0.00012861,0.00012861
2,38.2945,1.11824,2.44303,1.05579,0.90168,0.06926,0.31815,0.23788,0.96803,3.21491,0.96713,0.000266134,0.000266134,0.000266134
3,57.2808,1.11513,1.72149,1.05804,0.97729,0.21927,0.50478,0.3628,0.98581,2.9936,0.95479,0.000397999,0.000397999,0.000397999
4,75.496,1.1192,1.52546,1.0614,1,0.0611,0.67832,0.47864,1.02464,3.04468,0.99646,0.000524206,0.000524206,0.000524206
5,95.892,1.08898,1.24284,1.06977,0.90208,0.15488,0.73254,0.51683,1.01089,2.78884,1.01406,0.000644753,0.000644753,0.000644753
6,115.344,1.10095,1.20558,1.0529,1,0.14023,0.79827,0.57038,0.9827,2.71039,1.02517,0.000759642,0.000759642,0.000759642
7,133.473,1.0869,1.18605,1.03114,0.93018,0.39073,0.82303,0.60635,0.99803,2.46231,1.04873,0.000868872,0.000868872,0.000868872
8,153.217,1.0406,1.10475,1.04142,0.89939,0.52182,0.8223,0.5404,1.16586,2.33993,1.14419,0.000972443,0.000972443,0.000972443
9,171.364,1.10106,1.13706,1.07081,0.8636,0.78177,0.84749,0.58335,1.03032,2.0297,1.08185,0.00107036,0.00107036,0.00107036
10,189.38,1.08656,1.06098,1.0756,0.88119,0.79978,0.8845,0.63458,0.99229,1.88339,1.09305,0.00116261,0.00116261,0.00116261
11,207.495,1.08741,1.04874,1.07296,0.82819,0.86053,0.9008,0.65451,1.03634,1.51763,1.10384,0.00114606,0.00114606,0.00114606
12,225.74,1.06759,1.0168,1.06695,0.89947,0.7933,0.88186,0.63941,1.00567,1.5556,1.0685,0.00111776,0.00111776,0.00111776
13,243.562,1.03271,0.97091,1.03658,0.83737,0.82225,0.85612,0.6042,1.04628,1.35998,1.09637,0.00108947,0.00108947,0.00108947
